locustag,title,description,function,product,essential,protID
BSU17600,xylA,xylose isomerase,utilization of xylan and xylose,xylose isomerase,no,P0CI80
BSU16640,ylxP,general stress protein  required for protection against paraquat stress,protection against paraquat stress,unknown,no,P32730
BSU16870,ymfI,[[protein|3054CD45713BBD69C2A528DE24AF6AF37175FD9D]]-5 aminopentanone reductase,modification of [[protein|3054CD45713BBD69C2A528DE24AF6AF37175FD9D]],[[protein|3054CD45713BBD69C2A528DE24AF6AF37175FD9D]]-5 aminopentanone reductase,no,O31767
new26420362642116,S964,new RNA feature  3'UTR of comER,,3'UTR of comER,,
BSU26030,yqbO,similar to phage-related protein  putative cell wall hydrolase (N-acetylglucosamidase),unknown,unknown,no,P45931
BSU21546,bsrG,hydrophobic toxin; interferes with cell envelope biosynthesis  causes membrane invaginations together with delocalization of the cell wall synthesis machinery  triggers autolysis  and inhibits protein biosynthesis,stability of prophage SPß,hydrophobic class I toxin,no,L8EAY0
new3763937719,S22,new RNA feature  intergenic region,,intergenic region,,
BSU05150,ydeC,similar to transcription factor (AraC family),unknown,unknown,no,P96660
BSU15870,recG,ATP-dependent DNA helicase  branch migration translocase  required for DNA repair and chromosomal segregation,DNA repair and chromosomal segregation,ATP-dependent DNA helicase  branch migration translocase,no,O34942
BSU00820,lysS,lysyl-tRNA synthetase,translation,lysyl-tRNA synthetase,yes,P37477
BSU24600,sinI,antagonist of [[protein|5A6FBAE6553343092862CB79E150F934978C32A9]]  drives [[protein|920F91E748EE079FF864011D9052B073567C41E4]] from the [[protein|920F91E748EE079FF864011D9052B073567C41E4]](LOW) to the [[protein|920F91E748EE079FF864011D9052B073567C41E4]](HIGH) state,control of [wiki|biofilm formation],antagonist of [[protein|5A6FBAE6553343092862CB79E150F934978C32A9]],no,P23308
BSU19320,sqhC,squalene-hopene cyclase  biosynthesis of sporulenes  protection of the spore against oxidative stress,biosynthesis of sporulenes,squalene-hopene cyclase,no,Q796C3
BSU25760,sigK,[wiki|RNA polymerase ][wiki|sporulation]-specific [wiki|sigma factor ](sigma-K) (5' part of the interrupted [[gene|24F7FD5C7C3A68BB2760ABB8CBD8FBD65E5FF7D4]] gene)  with [[gene|6FAD8804AA32B84819DDE57C0AF63F208FB9FFD1]],late mother cell-specific gene expression,[wiki|RNA polymerase ][wiki|sporulation]-specific [wiki|sigma factor](sigma-K) (5' part of the gene),no,P12254
BSU29490,tpx,probable thiol peroxidase,unknown,unknown,no,P80864
BSU22810,yphF,unknown,unknown,unknown,no,P39911
new952948953024,S306,new RNA feature  3' of trnD-Leu1,,3' of trnD-Leu1,,
new11055691105635c,S363,new RNA feature  5'UTR of aprE,,5'UTR of aprE,,
BSU28530,etfB,electron transfer flavoprotein (beta subunit),fatty acid degradation,electron transfer flavoprotein (beta subunit),no,P94550
new31290783129194c,S1167,new RNA feature  intergenic region,,intergenic region,,
BSU11400,appC,oligopeptide [wiki|ABC transporter] (permease),uptake of oligopeptides,oligopeptide [wiki|ABC transporter] (permease),no,P42063
BSU14050,ykuE,Mn/ Zn-dependent phosphatase,unknown,Mn/ Zn-dependent phosphatase,no,O34870
new15914181591539,S559,new RNA feature  intergenic region,,intergenic region,,
BSU17690,yncM,unknown,unknown,unknown,no,O31803
BSU13510,ykzE,unknown,unknown,unknown,no,O31659
BSU21320,yomL,unknown protein,unknown,unknown,no,O31973
BSU09880,yhaR,similar to enoyl CoA hydratase,unknown,unknown,no,O07533
new36759953676059c,S1371,new RNA feature  5'UTR of tagG,,5'UTR of tagG,,
BSU15990,rpsP,ribosomal protein bS16,translation,ribosomal protein S16 (bS16),yes,P21474
BSU13350,ykoN,unknown,unknown,unknown,no,C0SPB9
BSU12430,rapA,response regulator aspartate phosphatase  dephosphorylates [[protein|9896B99346B0D3F6D57F57377DB253B46135A37A]]-P  control of the [wiki|phosphorelay],control of [wiki|sporulation] initiation,response regulator aspartate phosphatase,no,Q00828
new14512631451370,S502,new RNA feature  5'UTR of zosA,,5'UTR of zosA,,
BSU12510,xre,transcriptional repressor ([wiki|Xre family]) of [[category|SW.5.1.1]] genes,regulation of [[category|SW.5.1.1]] gene expression,transcriptional repressor ([wiki|Xre family]),yes,P23789
BSU20800,yopQ,unknown,unknown,unknown,no,O34448
BSU08660,sspE,small acid-soluble spore protein (major gamma-type SASP),protection of spore DNA,small acid-soluble spore protein (major gamma-type SASP),no,P07784
BSU40170,epeE,radical SAM epimerase  modification of [[protein|D66B9BFF79ADD8B0F9BFA3892FCF4597264CE9EE]],control of [[protein|49E70A20CC05DBE485953C0AE34E634EFB33C3B2]]-[[protein|9A1871BD853254EEA8B4E78CA187F9315CBDF43D]] activity,radical SAM epimerase,no,Q45595
BSU19915,BSU_19915,,,,,
BSU17070,ymcC,unknown,unknown,unknown,no,O31780
BSU21470,sunT,[[protein|1A6D90298D039FFFD977B2534952BA5E32B3530F|sublancin]] 168 lantibiotic [wiki|ABC transporter],[[protein|1A6D90298D039FFFD977B2534952BA5E32B3530F|sublancin]] export and processing,[[protein|1A6D90298D039FFFD977B2534952BA5E32B3530F|sublancin]] 168 lantibiotic [wiki|ABC transporter],no,P68579
BSU24030,bkdB,2-oxoisovalerate dehydrogenase (E2 subunit  lipoamide acyltransferase),utilization of branched-chain keto acids,2-oxoisovalerate dehydrogenase (E2 subunit  lipoamide acyltransferase),no,P37942
BSU31760,pncA,nicotinamidase,NAD salvage,nicotinamidase,no,O32091
BSU37880,spsD,legionaminic acid synthesis,legionaminic acid synthesis,unknown,no,P39624
BSU36280,ywqA,similar to SNF2 helicase,unknown,unknown,no,P94593
BSU21070,yonJ,unknown,unknown,unknown,no,O31948
new818856819310c,S252,new RNA feature  intergenic region,,intergenic region,,
new33549353355044c,S1256,new RNA feature  intergenic region,,intergenic region,,
new40515224051601c,S1518,new RNA feature  intergenic region,,intergenic region,,
BSU37600,ywfO,putative metal-dependent phosphohydrolase,unknown,unknown,no,P39651
new7902779091,S40,new RNA feature  5'UTR of coaX,,5'UTR of coaX,,
BSU32380,yunE,unknown,unknown,unknown,no,O32134
BSU01790,ybbU,,,,,
BSU39280,yxxE,unknown,unknown,unknown,no,P40738
BSU40270,yycP,unknown,unknown,unknown,no,Q45606
new19307421930833,S670,new RNA feature  5'UTR of yneP,,5'UTR of yneP,,
BSU39680,iolI,inosose isomerase  converts 2KMI to 1-keto-D-chiro-inositol,myo-inositol catabolism,inosose isomerase  converts 2KMI to 1-keto-D-chiro-inositol,no,P42419
BSU11000,yitI,similar to glyphosate N-acetyltransferase,unknown,unknown,no,O06744
BSU30620,ytlD,similar to [wiki|ABC transporter] (permease),unknown,[wiki|ABC transporter] (permease),no,O34649
BSU12580,xtmB,PBSX terminase (large subunit),phage DNA replication,PBSX terminase (large subunit),no,P39786
BSU05300,ydeQ,similar to NAD(P)H oxidoreductase,unknown,unknown,no,P96674
BSU17930,ccdA,membrane-embedded thiol-disulfide oxidoreductase,cytochrome c synthesis,thiol-disulfide oxidoreductase,no,P45706
BSU28180,ysxD,unknown,unknown,unknown,no,P40736
BSU08470,yfhB,unknown,unknown,unknown,no,O31570
BSU12780,xepA,PBSX prophage lytic exoenzyme,phage release,PBSX prophage lytic exoenzyme,no,P39797
BSU18040,yneP,putative 4-hydroxybenzoyl coenzyme-A thioesterase,unknown,putative 4-hydroxybenzoyl coenzyme-A thioesterase,no,Q45061
BSU20320,yorN,unknown,unknown,unknown,no,O31900
BSU34399,BSU_34399,,,,,
BSU21610,yokF,similar to micrococcal nuclease,unknown,unknown,no,O32001
new10943661094987c,S359,new RNA feature  independent transcript,,independent transcript,,
BSU02260,ybfK,carboxylesterase NP  degradation of pyrethroids,degradation of isoprenoid-containing lipids such as pyrethroids,carboxylesterase NP,no,O31452
BSU09760,yheE,unknown,unknown,unknown,no,O07546
new31234423124021c,S1163,new RNA feature  5'UTR of ytpA,,5'UTR of ytpA,,
new467042467129,S138,new RNA feature  5'UTR of mtlR,,5'UTR of mtlR,,
BSU02050,ybdO,unknown,unknown,unknown,no,O31437
new696054696194,S228,new RNA feature  5'UTR of yebC,,5'UTR of yebC,,
new929322929389,S292,new RNA feature  intergenic region,,intergenic region,,
BSU00480,yabJ,2-iminobutanoate/2-iminopropanoate deaminase  detoxification of reactive intermediates generated in isoleucine biosynthesis,deamination of reactive intermediates generated in isoleucine biosynthesis,2-iminobutanoate/2-iminopropanoate deaminase,no,P37552
BSU34729,yvzJ,unknown,unknown,unknown,-,C0H3R7
new12559431256078,S427,new RNA feature  5'UTR of yjzE,,5'UTR of yjzE,,
new10184971020028c,S327,new RNA feature  intergenic region,,intergenic region,,
BSU04340,ydaP,pyruvate:quinone oxidoreductases  general stress protein  required for survival of ethanol stress  cold stress (4°C) and oxidative stress (superoxide/paraquate),utilization of pyruvate,pyruvate:quinone oxidoreductases,no,P96591
BSU08210,yfiB,similar to [wiki|ABC transporter] (ATP-binding protein),unknown,[wiki|ABC transporter] (ATP-binding protein),no,P54718
BSU18190,uptA,undecaprenyl phosphate transporter A  regeneration of the cytoplasmic pool of undecaprenyl phosphate for peptidoglycan and teichoic acid biosynthesis,recycling of undecaprenyl phosphate for peptidoglycan and teichoic acid biosynthesis,undecaprenyl phosphate transporter A,no,O31823
BSU05880,gmuG,beta-1 4-mannanase,glucomannan utilization,beta-1 4-mannanase,no,O05512
new14475781447661c,S500,new RNA feature  3'UTR of ykvS,,3'UTR of ykvS,,
BSU05470,mneP,primary manganese (II) efflux pump  contributes to iron efflux,Mn(II) export,manganese (II) efflux pump,no,C0SP78
BSU03620,bsdA,transcriptional activator of the [[gene|8A83E44AFE9A1A635C65E6B526690AF7DA201BE1]]-[[gene|FD23F4C2AFCBFE35A79116C5A707FACD454E4180]]-[[gene|868DC9DE1C9C26C780F4CEAA4185640B5B6B781B]] operon,regulation of resistance to salicylic acid,transcriptional activator ([wiki|LysR family]),no,P94403
BSU04290,ydaL,general stress protein  synthesis of extracellular polysaccharide,synthesis of extracellular polysaccharide,unknown,no,O31487
BSU38870,yxkA,unknown,unknown,unknown,no,P55185
BSU14920,ctaF,cytochrome-c oxidase (caa<sub>3</sub>) (subunit IV),respiration,cytochrome-c oxidase (subunit IV),no,P24013
BSU09750,sspB,small acid-soluble spore protein (major beta-type SASP),protection of spore DNA,small acid-soluble spore protein (major beta-type SASP),no,P04832
BSU32240,thrB,homoserine kinase,biosynthesis of threonine,homoserine kinase,no,P04948
BSU35780,lytD,peptidoglycan N-acetylglucosaminidase,major autolysin  cell separation,peptidoglycan N-acetylglucosaminidase,no,P39848
BSU04220,ydaG,putative pyridoxamine 5'-phosphate oxidase   general stress protein  required for protection against paraquat stress,survival of stress conditions,putative pyridoxamine 5'-phosphate oxidase,no,P80238
new20539852054612,S708,new RNA feature  independent transcript,,independent transcript,,
BSU23940,yqjB,putative sporulation-specific L D-transpeptidase,unknown,putative L D-transpeptidase,no,P54539
BSU38330,ywbG,holin-like auxilary protein,unknown,holin-like auxilary protein,no,P39590
BSU03580,yczE,unknown,unknown,unknown,no,O34927
BSU31190,rhaM,mutarotase involved in rhamnose utilization,utilization of rhamnose,mutarotase,no,O05263
new26000502600154,S950,new RNA feature  5' of S950,,5' of S950,,
new546051546165c,S173,new RNA feature  3'UTR of yddK,,3'UTR of yddK,,
BSU39530,yxeJ,unknown,unknown,unknown,no,P54949
BSU01120,fusA,elongation factor G  catalyzes translocation steps of the ribosome after peptide bond formation  facilitates movement of tRNA and mRNA by one codon,translation,elongation factor G,yes,P80868
BSU01800,alkA,DNA-3-methyladenine glycosylase,adaptive response to alkylative DNA damage,DNA-3-methyladenine glycosylase,no,P37878
BSU28220,clpX,AAA unfoldase  ATP-dependent Clp protease  ATP-binding subunit (class III heat-shock protein),protein degradation,AAA unfoldase  ATP-dependent Clp protease  ATP-binding subunit,no,P50866
BSU26060,yqbM,similar to phage-related R-Type bacteriocin tube protein,unknown,unknown,no,P45929
new22256162225829,S799,new RNA feature  3'UTR of yonN,,3'UTR of yonN,,
BSU29960,ytlP,similar to 2´-CPDase,nucleotide metabolism,putative 2´-CPDase,no,O34570
BSU33790,sdpR,transcriptional repressor ([wiki|ArsR family]) of the [[gene|29A3EC8FB0C763A973273AA14EAEB904847C3002]]-[[gene|sdpI ]]operon,regulation of protection against [[protein|820635420B3980B620F3E3D7ACF7EDE9DC6275AD]],transcriptional regulator ([wiki|ArsR family]),no,O32242
BSU02790,ycdB,unknown,unknown,unknown,no,O34621
BSU08490,yfhD,general stress protein  survival of ethanol stress and low temperatures,survival of ethanol stress and low temperatures,unknown,no,O31572
BSU13900,ptsH,HPr  General component of the sugar [wiki|phosphotransferase system] (PTS),PTS-dependent sugar transport and carbon catabolite repression,histidine-containing phosphocarrier protein HPr of the PTS,no,P08877
new29895522990726,S1105,new RNA feature  independent transcript,,independent transcript,,
BSU27930,spo0B,[[category|SW.4.2]] initiation phosphotransferase of the [wiki|phosphorelay],initiation of [wiki|sporulation],[wiki|sporulation ]initiation phosphotransferase,no,P06535
BSU10530,ntdC,NAD-dependent glucose-6-phosphate dehydrogenase,synthesis of the antibiotic kanosamine,NAD-dependent glucose-6-phosphate dehydrogenase,no,O07564
new26647322666054,S975,new RNA feature  independent transcript,,independent transcript,,
BSU11140,yitU,5'-nucleotidase  dephosphorylation of the riboflavin precursor  5-amino-6-ribitylamino-2 4(1H 3H)-pyrimidinedione 5'-phosphate (minor activity),dephosphorylation of the riboflavin precursor  5-amino-6-ribitylamino-2 4(1H 3H)-pyrimidinedione 5'-phosphate (minor activity),5'-nucleotidase,no,P70947
new36220483622137c,S1345,new RNA feature  5'UTR of swrAA/2,,5'UTR of swrAA/2,,
BSU06440,purB,adenylsuccinate lyase,purine biosynthesis,adenylsuccinate lyase,no,P12047
BSU36050,cotB,spore coat protein (outer),resistance of the spore,spore coat protein (outer),no,P07789
new204891204975,S71,new RNA feature  intergenic region,,intergenic region,,
BSU02390,ilvE,branched-chain amino acid aminotransferase,biosynthesis of branched-chain amino acids,branched-chain amino acid aminotransferase,no,O31461
BSU11610,nadF,NAD kinase,generation of NADP from NAD,inorganic polyphosphate/ATP-NAD kinase,yes,O31612
new23050362305183c,S824,new RNA feature  5'UTR of bsaA,,5'UTR of bsaA,,
new4998750086,S27,new RNA feature  5'UTR of rnmV,,5'UTR of rnmV,,
BSU36810,atpD,ATP synthase  part of the F1 complex (subunit beta),ATP synthesis,ATP synthase (subunit beta)),no,P37809
BSU16160,clpY,two-component ATP-dependent protease  ATPase subunit,protein degradation,two-component ATP-dependent protease  ATPase subunit,no,P39778
new16555861655958,S574,new RNA feature  intergenic region,,intergenic region,,
BSU23250,ribH,riboflavin synthase (beta subunit),riboflavin biosynthesis,riboflavin synthase (beta subunit),no,P11998
BSU26050,txpA,toxic peptide  eliminates defective cells from developing biofilms,toxin,toxic peptide,no,P54373
new32133293216149,S1191,new RNA feature  3'UTR of tgl,,3'UTR of tgl,,
BSU34430,racX,amino acid racemase  production of non-canonical D-amino acids,production of non-canonical D-amino acids,amino acid racemase,no,P32960
new210947211412,S75,new RNA feature  intergenic region,,intergenic region,,
BSUmiscRNA68,swmG,,,,,
BSU16710,mlpA,metallopeptidase  involved in regulation of protease gene expression,control of proteolytic activity,specific processing protease,no,Q04805
BSU15830,yloU,similar to alkaline-shock protein,unknown,unknown,no,O34318
new579354579540,S186,new RNA feature  5'UTR of aseR,,5'UTR of aseR,,
BSU11620,yjbO,similar to pseudouridylate synthase,RNA modification,putative pseudouridylate synthase,no,O31613
BSU28990,dnaB,initiation of chromosome replication/ membrane attachment protein  part of the [wiki|replisome],[[category|SW.3.1.1]],helicase loader  initiation of chromosome replication/ membrane attachment protein,yes,P07908
BSU06640,yerI,amicoumacin kinase,resistance to amicoumacin,amicoumacin kinase,no,O34640
new785976786536c,S249,new RNA feature  independent transcript,,independent transcript,,
BSU00880,disA,DNA integrity scanning protein  diadenylate cyclase  delays [wiki|sporulation] in the case of chromosome damage  the DisA-dependent checkpoint arrests [wiki|DNA replication] during <i>B. subtilis</i> spore outgrowth until the germinating spores genome is free of damage,control of [wiki|sporulation] initiation,DNA integrity scanning protein  has diadenylate cyclase activity,no,P37573
BSU21650,yokB,prophage SP beta-derived lipoprotein,unknown,unknown,no,O32005
new39890983989183,S1492,new RNA feature  5'UTR of yxkC,,5'UTR of yxkC,,
BSU26305,BSU_26305,,,,,
BSU28720,abfA,alpha-L-arabinofuranosidase,arabinan degradation,alpha-L-arabinofuranosidase,no,P94531
new663937664318,S219,new RNA feature  intergenic region,,intergenic region,,
BSU15400,ylmG,unknown,unknown,unknown,no,O31729
BSU24840,yqgS,polyglycerolphosphate lipoteichoic acid synthase,biosynthesis of lipoteichoic acid,minor lipoteichoic acid synthase,no,P54496
BSU37140,ywjG,unknown,unknown,unknown,no,P06629
BSU07380,yfmQ,unknown,unknown,unknown,no,O06475
BSU27550,aspS,aspartyl-tRNA synthetase,translation,aspartyl-tRNA synthetase,yes,O32038
BSU39100,yxiO,unknown,unknown,unknown,no,P42306
BSU15700,yloI,Coenzyme A biosynthesis bifunctional protein CoaBC; putative phosphopantothenoylcysteine synthetase/decarboxylase,biosynthesis of coenzyme A,putative phosphopantothenoylcysteine synthetase/decarboxylase,yes,O35033
BSU08580,yfhL,general stress protein  important for survival at low temperature (4C) and during ethanol stress,,resistence protein (against toxic peptide [[protein|820635420B3980B620F3E3D7ACF7EDE9DC6275AD]]),no,O31580
new37159283716008c,S1386,new RNA feature  intergenic region,,intergenic region,,
new27077602708174c,S987,new RNA feature  3'UTR of yrkL,,3'UTR of yrkL,,
BSU28040,radC,probable DNA repair protein,DNA repair,probable DNA repair protein,no,Q02170
BSU07670,yflI,unknown,unknown,unknown,no,O34905
new31459973146088c,S1174,new RNA feature  5'UTR of mntA,,5'UTR of mntA,,
new30329103033040,S1131,new RNA feature  5'UTR of ytsP,,5'UTR of ytsP,,
BSU01260,rplN,ribosomal protein uL14,translation,ribosomal protein L14 (uL14),yes,P12875
BSU11280,yjaU,unknown,unknown,unknown,no,O35001
new20311152031202c,S694,new RNA feature  5'UTR of yoaH,,5'UTR of yoaH,,
BSU38850,yxkC,unknown,unknown,unknown,no,P94356
BSU30910,cotSA,spore coat protein,resistance of the spore,spore coat protein,no,P46915
BSU19639,yoyE,unknown,unknown,unknown,-,C0H432
BSU32920,yusT,similar to transcriptional regulator ([wiki|LysR family]),unknown,transcriptional regulator ([wiki|LysR family]),no,O32186
BSU10700,gerPC,spore germination protein  facilitates access of nutrient germinants to their cognate germinant receptors in spores inner membrane,germination,unknown,no,O06719
new33174093317473,S1247,new RNA feature  5'UTR of yutG,,5'UTR of yutG,,
BSU24220,spo0A,[wiki|phosphorelay] regulator  initiation of [wiki|sporulation]  coordinates [wiki|DNA replication] and initiation of [wiki|sporulation] by binding to sites close to the <i>oriC</i>,initiation of [wiki|sporulation],[wiki|phosphorelay] response regulator,no,P06534
new29822702982476c,S1101,new RNA feature  5'UTR of citZ,,5'UTR of citZ,,
BSU11500,spx,transcriptional regulator Spx  involved in regulation of many genes  important for the prevention of protein aggregation during severe heat stress  required for protection against paraquat stress,negative and positive regulator of many genes,transcriptional regulator Spx,no,O31602
BSU29480,ytxK,similar to SAM-dependent methyltransferase,DNA modification,similar to SAM-dependent DNA-methyltransferase,no,P37876
new40316464031766c,S1512,new RNA feature  intergenic region,,intergenic region,,
BSU20760,yopU,unknown,unknown,unknown,no,O34937
BSU21830,ypjQ,similar to low temperature requirement C protein,unknown,unknown,no,P54173
BSU06010,ydiL,unknown,unknown,unknown,no,O05525
BSU16300,fliL,flagellar protein required for flagellar formation   membrane protein,movement and chemotaxis,flagellar protein required for flagellar formation   membrane protein,no,P23452
BSUtRNA54,trnB-Lys,null,translation,transfer RNA-Lys,no,
new21854222185503c,S772,new RNA feature  intergenic region,,intergenic region,,
BSU37710,bacD,alanine-anticapsin ligase,biosynthesis of the antibiotic bacilysin,alanine-anticapsin ligase,no,P39641
BSU07880,yfkJ,general stress protein  protein tyrosine phosphatase  required for protection against paraquat stress,survival of stress conditions,protein tyrosine phosphatase,no,O35016
BSUmiscRNA33,srdEi,,,,,
BSU14770,ylaG,similar to GTP-binding elongation factor,unknown,unknown,no,O07631
new235403235489c,S83,new RNA feature  5'UTR of glpT,,5'UTR of glpT,,
new549923550239c,S175,new RNA feature  3'UTR of yddN,,3'UTR of yddN,,
BSU31930,ald,L-alanine dehydrogenase,alanine utilization,L-alanine dehydrogenase,no,Q08352
new11474931148466c,S379,new RNA feature  3'UTR of gerPF,,3'UTR of gerPF,,
BSU30160,ytcQ,polygalacturonan and rhamnogalacturonan [wiki|ABC transporter] (solute-binding lipoprotein),uptake of polygalacturonan and rhamnogalacturonan,polygalacturonan and rhamnogalacturonan [wiki|ABC transporter] (solute-binding lipoprotein),no,Q795R2
BSU38450,dtrR,D-Tyr resistance regulator ([wiki|MarR family]),resistance to D-Tyr,transcription factor ([wiki|MarR family]),no,P25150
new39982373998480c,S1498,new RNA feature  independent transcript,,independent transcript,,
BSU38080,ywcI,unknown,unknown,unknown,no,P39607
BSU19745,BSU_19745,,,,,
new14016971401771,S478,new RNA feature  5'UTR of ykoS,,5'UTR of ykoS,,
BSUtRNA74,trnSL-Gln2,null,translation,transfer RNA-Gln,no,
BSU10260,yhfK,ene reductase  detoxification of α β-unsaturated aldehydes,detoxification of α β-unsaturated aldehydes,ene reductase,no,O07609
new23078142307904,S828,new RNA feature  5'UTR of cspD,,5'UTR of cspD,,
BSUmiscRNA83,tboY,,,,,
BSU16920,pgsA,phosphatidylglycerophosphate synthase,biosynthesis of phospholipids,phosphatidylglycerophosphate synthase,yes,P46322
BSU12030,yjdF,unknown,unknown,unknown,no,O31647
BSU06980,rhiF,[wiki|ABC transporter] (membrane protein) for rhamnose oligosaccharides,uptake of rhamnose oligosaccharides,rhamnose oligosaccharide [wiki|ABC transporter],no,O31519
new15507941551384,S540,new RNA feature  intergenic region,,intergenic region,,
BSU03330,nasA,nitrate transporter,nitrate uptake,nitrate transporter,no,P42432
new24568092456888c,S893,new RNA feature  5'UTR of ansA,,5'UTR of ansA,,
BSU02380,ybgB,putative immunity protein,unknown,unknown,no,O31460
BSU07330,yfnB,putative [wiki|HAD superfamily] phosphatase,unknown,unknown,no,O06480
new24329162433315c,S884,new RNA feature  intergenic region,,intergenic region,,
BSU09660,yheN,putative polysaccharide deacetylase,unknown,unknown,no,O07596
BSU14650,yktB,unknown,unknown,unknown,no,Q45498
BSU04980,yddI,unknown,unknown,unknown,no,P96646
BSU06770,yeeB,putative ATP-dependent helicase,unknown,unknown,no,O34469
BSU25490,hrcA,transcriptional repressor of class I heat-shock genes,regulation of chaperone gene expression,transcriptional repressor,no,P25499
BSU04660,ndoA,RNase EndoA  MazF family toxin  UACAU-specific mRNA interferase,unknown,mRNA interferase,no,P96622
BSU16320,fliY,flagellar C ring protein  [[protein|2F0495C7EAB81BDB1F3181677C555537BD2A972F]]-P phosphatase,movement and chemotaxis,flagellar C ring protein,no,P24073
BSU32450,pucL,uricase  urate oxidase,purine utilization,uricase,no,O32141
BSU06150,gutB,D-sorbitol dehydrogenase,glucitol utilization,D-sorbitol dehydrogenase,no,Q06004
BSU26470,yrkL,similar to NAD(P)H oxidoreductase,unknown,unknown,no,P54439
BSU34990,lgt,prolipoprotein diacylglyceryl transferase,lipomodification of lipoproteins,prolipoprotein diacylglyceryl transferase,no,O34752
BSU07810,treA,phospho-alpha-glucosidase,trehalose utilization,phospho-alpha-glucosidase,no,P39795
BSU14960,ylbC,unknown,unknown,unknown,no,O34586
BSU32330,lipA,lipoyl synthase  trigger enzyme,synthesis of lipoic acid,lipoyl synthase trigger enzyme,no,O32129
BSU08090,acoL,acetoin dehydrogenase E3 component (dihydrolipoamide dehydrogenase),acetoin utilization,acetoin dehydrogenase E3 component (dihydrolipoamide dehydrogenase),no,O34324
BSU16330,cheY,two-component response regulator  modulation of flagellar switch bias  CheY-phosphate induces a switch from clockwise to counter-clockwise rotation,modulation of flagellar switch bias,two-component response regulator,no,P24072
new39967313996828,S1497,new RNA feature  5'UTR of yxjJ,,5'UTR of yxjJ,,
BSU01380,map,methionine aminopeptidase,removal of N-terminal methionine from nascent proteins,methionine aminopeptidase,no,P19994
BSU14600,pdhC,pyruvate dehydrogenase (dihydrolipoamide acetyltransferase E2 subunit),links glycolysis and TCA cycle,pyruvate dehydrogenase (dihydrolipoamide acetyltransferase E2 subunit),no,P21883
BSU24120,mmgF,methylisocitrate lyase,mother cell metabolism,methylisocitrate lyase,no,P54528
BSU12270,yjlB,unknown,unknown,unknown,no,O34612
BSU27500,trmU,tRNA (5-methylaminomethyl-2-thiouridylate) methyltransferase  involved in 2-thiouridine (s2U) modification of the wobble position in glutamate  glutamine and lysine tRNA molecules,tRNA modification,tRNA (5-methylaminomethyl-2-thiouridylate) methyltransferase,yes,O35020
BSU14430,ykpA,[wiki|ABC transporter] (ATP-binding protein),unknown,[wiki|ABC transporter] (ATP-binding protein),no,O31716
BSU10550,ntdA,pyridoxal phosphate-dependent 3-oxo-glucose-6-phosphate:glutamate aminotransferase,synthesis of the antibiotic kanosamine,pyridoxal phosphate-dependent,no,O07566
BSU09600,fluC,flouride exporter (together with [[protein|BD1C4D9E6E8960DF77EE1571A637929C2D8C4A28]]),export of flouride,flouride channel,no,O07590
BSU36190,ywqJ,LXG toxin,unknown,LXG toxin,no,P96722
new17441821744236,S597,new RNA feature  3'UTR of ymxH,,3'UTR of ymxH,,
BSU04990,yddJ,ICEBs1 exclusion factor  protects the donor cells from cell death after conjugation,prevention of redundant transfer of ICEBs1 into host cells that already contain a copy of the element,ICEBs1 exclusion factor,no,P96647
new12891391289257,S446,new RNA feature  intergenic region,,intergenic region,,
BSU38540,dltE,D-alanine transfer from undecaprenol-phosphate to the poly(glycerophosphate) chain  alanylation of teichoic acid provides some resistance against positively charged antimicrobial peptides,biosynthesis of teichoic acid,D-alanine transfer from undecaprenol-phosphate to the poly(glycerophosphate) chain,no,P39577
BSU13070,bstF,bacillithiol S-transferase,unknown,bacillithiol S-transferase,no,P49854
BSU12619,ykzL,unknown PBSX prophage protein,unknown,unknown,-,C0H3Z6
BSU23510,xerD,site-specific integrase/recombinase  partitioning of the terminus region after replication  terminus-specific unloader of translocating SMC complexes,chromosome partitioning  unloading of SMC complexes,site-specific integrase/recombinase,no,P46352
new257545257726,S90,new RNA feature  5'UTR of ybgA,,5'UTR of ybgA,,
BSU11430,oppA,oligopeptide [wiki|ABC transporter] (binding protein),initiation of [wiki|sporulation]  competence development,oligopeptide [wiki|ABC transporter] (binding protein),no,P24141
BSU23650,yqkC,unknown,unknown,unknown,no,P54566
BSU05940,tsaD,required for threonyl carbamoyl adenosine (t6A) modification of tRNAs that pair with ANN codons in mRNA (together with TsaC)  universally conserved protein,tRNA modification,tRNA modification enzyme,yes,O05518
new38231593823531c,S1447,new RNA feature  3'UTR of narI,,3'UTR of narI,,
BSU24450,efp,elongation factor P  important for the [[category|SW.3.3.1]] of proteins containing three or more consecutive proline residues,[[category|SW.3.3.1]],elongation factor P,no,P49778
BSU38620,aag,hypoxanthine-DNA glycosylase  general stress protein  required for protection against paraquat stress,DNA repair  survival of stress conditions,hypoxanthine-DNA glycosylase,no,P94378
BSU19630,deoD,purine nucleoside phosphorylase,purine salvage and interconversion,purine nucleoside phosphorylase,no,O34925
BSU14700,nprE,extracellular neutral protease B,degradation of proteins,extracellular neutral protease B,no,P68736
BSU26960,yraF,forespore-specific sporulation protein  similar to spore coat protein,unknown,unknown,no,O07949
BSU20810,yopP,unknown,unknown,unknown,no,O34336
BSU25470,dnaK,class I heat-shock protein (molecular chaperone),protein quality control,class I heat-shock protein (molecular chaperone),no,P17820
BSU40010,yxaD,similar to transcriptional regulator ([wiki|MarR family]),unknown,unknown,no,P42103
